product_id,product_name,price
71654910,product_71654910,7
71654911,product_71654911,113
71654912,product_71654912,17
71654913,product_71654913,36
71654914,product_71654914,63
71654915,product_71654915,9
71654916,product_71654916,63
71654917,product_71654917,128
71654918,product_71654918,69
71654919,product_71654919,140
71654920,product_71654920,42
71654921,product_71654921,43
71654922,product_71654922,20
71654923,product_71654923,94
71654924,product_71654924,119
71654925,product_71654925,22
71654926,product_71654926,110
71654927,product_71654927,17
71654928,product_71654928,125
71654929,product_71654929,5
71654930,product_71654930,69
71654931,product_71654931,25
71654932,product_71654932,129
71654933,product_71654933,137
71654934,product_71654934,17
71654935,product_71654935,128
71654936,product_71654936,135
71654937,product_71654937,44
71654938,product_71654938,93
71654939,product_71654939,108
71654940,product_71654940,120
71654941,product_71654941,38
71654942,product_71654942,140
71654943,product_71654943,20
71654944,product_71654944,134
71654945,product_71654945,142
71654946,product_71654946,76
71654947,product_71654947,46
71654948,product_71654948,61
71654949,product_71654949,41
71654950,product_71654950,146
71654951,product_71654951,58
71654952,product_71654952,34
71654953,product_71654953,74
71654954,product_71654954,28
71654955,product_71654955,135
71654956,product_71654956,40
71654957,product_71654957,131
71654958,product_71654958,78
71654959,product_71654959,87
71654960,product_71654960,91
71654961,product_71654961,37
71654962,product_71654962,72
71654963,product_71654963,3
71654964,product_71654964,65
71654965,product_71654965,32
71654966,product_71654966,80
71654967,product_71654967,107
71654968,product_71654968,141
71654969,product_71654969,134
71654970,product_71654970,93
71654971,product_71654971,26
71654972,product_71654972,6
71654973,product_71654973,24
71654974,product_71654974,34
71654975,product_71654975,48
71654976,product_71654976,122
71654977,product_71654977,72
71654978,product_71654978,57
71654979,product_71654979,140
71654980,product_71654980,50
71654981,product_71654981,53
71654982,product_71654982,108
71654983,product_71654983,60
71654984,product_71654984,36
71654985,product_71654985,142
71654986,product_71654986,22
71654987,product_71654987,134
71654988,product_71654988,105
71654989,product_71654989,51
71654990,product_71654990,114
71654991,product_71654991,100
71654992,product_71654992,89
71654993,product_71654993,35
71654994,product_71654994,73
71654995,product_71654995,79
71654996,product_71654996,38
71654997,product_71654997,137
71654998,product_71654998,55
71654999,product_71654999,49
71655000,product_71655000,95
71655001,product_71655001,5
71655002,product_71655002,20
71655003,product_71655003,1
71655004,product_71655004,56
71655005,product_71655005,150
71655006,product_71655006,104
71655007,product_71655007,140
71655008,product_71655008,65
71655009,product_71655009,118
71655010,product_71655010,93
71655011,product_71655011,146
71655012,product_71655012,77
71655013,product_71655013,72
71655014,product_71655014,126
71655015,product_71655015,73
71655016,product_71655016,9
71655017,product_71655017,34
71655018,product_71655018,74
71655019,product_71655019,98
71655020,product_71655020,119
71655021,product_71655021,124
71655022,product_71655022,148
71655023,product_71655023,121
71655024,product_71655024,135
71655025,product_71655025,139
71655026,product_71655026,71
71655027,product_71655027,149
71655028,product_71655028,47
71655029,product_71655029,88
71655030,product_71655030,101
71655031,product_71655031,103
71655032,product_71655032,14
71655033,product_71655033,124
71655034,product_71655034,119
71655035,product_71655035,81
71655036,product_71655036,98
71655037,product_71655037,43
71655038,product_71655038,139
71655039,product_71655039,43
71655040,product_71655040,63
71655041,product_71655041,130
71655042,product_71655042,127
71655043,product_71655043,149
71655044,product_71655044,2
71655045,product_71655045,20
71655046,product_71655046,86
71655047,product_71655047,19
71655048,product_71655048,35
71655049,product_71655049,112
71655050,product_71655050,106
71655051,product_71655051,70
71655052,product_71655052,105
71655053,product_71655053,139
71655054,product_71655054,66
71655055,product_71655055,147
71655056,product_71655056,100
71655057,product_71655057,43
71655058,product_71655058,38
71655059,product_71655059,59
71655060,product_71655060,146
71655061,product_71655061,54
71655062,product_71655062,126
71655063,product_71655063,37
71655064,product_71655064,146
71655065,product_71655065,3
71655066,product_71655066,109
71655067,product_71655067,66
71655068,product_71655068,26
71655069,product_71655069,27
71655070,product_71655070,106
71655071,product_71655071,13
71655072,product_71655072,142
71655073,product_71655073,112
71655074,product_71655074,59
71655075,product_71655075,37
71655076,product_71655076,8
71655077,product_71655077,132
71655078,product_71655078,43
71655079,product_71655079,46
71655080,product_71655080,66
71655081,product_71655081,13
71655082,product_71655082,21
71655083,product_71655083,94
71655084,product_71655084,110
71655085,product_71655085,106
71655086,product_71655086,117
71655087,product_71655087,91
71655088,product_71655088,116
71655089,product_71655089,115
71655090,product_71655090,28
71655091,product_71655091,57
71655092,product_71655092,145
71655093,product_71655093,103
71655094,product_71655094,12
71655095,product_71655095,12
71655096,product_71655096,73
71655097,product_71655097,89
71655098,product_71655098,97
71655099,product_71655099,91
71655100,product_71655100,59
71655101,product_71655101,135
71655102,product_71655102,115
71655103,product_71655103,59
71655104,product_71655104,90
71655105,product_71655105,87
71655106,product_71655106,140
71655107,product_71655107,32
71655108,product_71655108,75
71655109,product_71655109,47
71655110,product_71655110,31
71655111,product_71655111,123
71655112,product_71655112,95
71655113,product_71655113,100
71655114,product_71655114,27
71655115,product_71655115,137
71655116,product_71655116,43
71655117,product_71655117,127
71655118,product_71655118,45
71655119,product_71655119,150
71655120,product_71655120,141
71655121,product_71655121,11
71655122,product_71655122,46
71655123,product_71655123,75
71655124,product_71655124,62
71655125,product_71655125,28
71655126,product_71655126,117
71655127,product_71655127,82
71655128,product_71655128,75
71655129,product_71655129,25
71655130,product_71655130,89
71655131,product_71655131,45
71655132,product_71655132,136
71655133,product_71655133,49
71655134,product_71655134,28
71655135,product_71655135,73
71655136,product_71655136,125
71655137,product_71655137,120
71655138,product_71655138,32
71655139,product_71655139,52
71655140,product_71655140,150
71655141,product_71655141,119
71655142,product_71655142,137
71655143,product_71655143,138
71655144,product_71655144,117
71655145,product_71655145,67
71655146,product_71655146,119
71655147,product_71655147,140
71655148,product_71655148,130
71655149,product_71655149,84
71655150,product_71655150,107
71655151,product_71655151,75
71655152,product_71655152,118
71655153,product_71655153,83
71655154,product_71655154,57
71655155,product_71655155,146
71655156,product_71655156,53
71655157,product_71655157,95
71655158,product_71655158,96
71655159,product_71655159,35
71655160,product_71655160,13
71655161,product_71655161,128
71655162,product_71655162,76
71655163,product_71655163,134
71655164,product_71655164,4
71655165,product_71655165,130
71655166,product_71655166,31
71655167,product_71655167,135
71655168,product_71655168,128
71655169,product_71655169,27
71655170,product_71655170,59
71655171,product_71655171,96
71655172,product_71655172,87
71655173,product_71655173,6
71655174,product_71655174,50
71655175,product_71655175,33
71655176,product_71655176,107
71655177,product_71655177,116
71655178,product_71655178,8
71655179,product_71655179,149
71655180,product_71655180,62
71655181,product_71655181,47
71655182,product_71655182,74
71655183,product_71655183,34
71655184,product_71655184,117
71655185,product_71655185,27
71655186,product_71655186,69
71655187,product_71655187,10
71655188,product_71655188,150
71655189,product_71655189,71
71655190,product_71655190,97
71655191,product_71655191,15
71655192,product_71655192,70
71655193,product_71655193,24
71655194,product_71655194,33
71655195,product_71655195,31
71655196,product_71655196,54
71655197,product_71655197,62
71655198,product_71655198,80
71655199,product_71655199,84
71655200,product_71655200,18
71655201,product_71655201,43
71655202,product_71655202,44
71655203,product_71655203,87
71655204,product_71655204,61
71655205,product_71655205,88
71655206,product_71655206,91
71655207,product_71655207,9
71655208,product_71655208,19
71655209,product_71655209,135
71655210,product_71655210,49
71655211,product_71655211,5
71655212,product_71655212,111
71655213,product_71655213,65
71655214,product_71655214,67
71655215,product_71655215,3
71655216,product_71655216,115
71655217,product_71655217,80
71655218,product_71655218,20
71655219,product_71655219,121
71655220,product_71655220,84
71655221,product_71655221,113
71655222,product_71655222,9
71655223,product_71655223,128
71655224,product_71655224,66
71655225,product_71655225,108
71655226,product_71655226,56
71655227,product_71655227,32
71655228,product_71655228,138
71655229,product_71655229,133
71655230,product_71655230,49
71655231,product_71655231,55
71655232,product_71655232,130
71655233,product_71655233,38
71655234,product_71655234,91
71655235,product_71655235,119
71655236,product_71655236,68
71655237,product_71655237,101
71655238,product_71655238,63
71655239,product_71655239,27
71655240,product_71655240,59
71655241,product_71655241,6
71655242,product_71655242,22
71655243,product_71655243,113
71655244,product_71655244,121
71655245,product_71655245,32
71655246,product_71655246,24
71655247,product_71655247,79
71655248,product_71655248,112
71655249,product_71655249,120
71655250,product_71655250,109
71655251,product_71655251,81
71655252,product_71655252,53
71655253,product_71655253,39
71655254,product_71655254,28
71655255,product_71655255,127
71655256,product_71655256,125
71655257,product_71655257,100
71655258,product_71655258,109
71655259,product_71655259,149
71655260,product_71655260,124
71655261,product_71655261,40
71655262,product_71655262,124
71655263,product_71655263,33
71655264,product_71655264,50
71655265,product_71655265,5
71655266,product_71655266,104
71655267,product_71655267,133
71655268,product_71655268,80
71655269,product_71655269,128
71655270,product_71655270,6
71655271,product_71655271,42
71655272,product_71655272,79
71655273,product_71655273,72
71655274,product_71655274,128
71655275,product_71655275,100
71655276,product_71655276,12
71655277,product_71655277,72
71655278,product_71655278,115
71655279,product_71655279,131
71655280,product_71655280,25
71655281,product_71655281,15
71655282,product_71655282,114
71655283,product_71655283,119
71655284,product_71655284,48
71655285,product_71655285,95
71655286,product_71655286,116
71655287,product_71655287,146
71655288,product_71655288,21
71655289,product_71655289,124
71655290,product_71655290,95
71655291,product_71655291,117
71655292,product_71655292,6
71655293,product_71655293,73
71655294,product_71655294,67
71655295,product_71655295,68
71655296,product_71655296,60
71655297,product_71655297,83
71655298,product_71655298,123
71655299,product_71655299,107
71655300,product_71655300,2
71655301,product_71655301,5
71655302,product_71655302,16
71655303,product_71655303,85
71655304,product_71655304,40
71655305,product_71655305,128
71655306,product_71655306,20
71655307,product_71655307,102
71655308,product_71655308,20
71655309,product_71655309,49
71655310,product_71655310,86
71655311,product_71655311,32
71655312,product_71655312,57
71655313,product_71655313,132
71655314,product_71655314,15
71655315,product_71655315,35
71655316,product_71655316,107
71655317,product_71655317,71
71655318,product_71655318,90
71655319,product_71655319,65
71655320,product_71655320,93
71655321,product_71655321,34
71655322,product_71655322,14
71655323,product_71655323,11
71655324,product_71655324,29
71655325,product_71655325,27
71655326,product_71655326,117
71655327,product_71655327,108
71655328,product_71655328,11
71655329,product_71655329,123
71655330,product_71655330,36
71655331,product_71655331,17
71655332,product_71655332,35
71655333,product_71655333,59
71655334,product_71655334,150
71655335,product_71655335,72
71655336,product_71655336,112
71655337,product_71655337,74
71655338,product_71655338,99
71655339,product_71655339,102
71655340,product_71655340,28
71655341,product_71655341,122
71655342,product_71655342,20
71655343,product_71655343,149
71655344,product_71655344,54
71655345,product_71655345,12
71655346,product_71655346,93
71655347,product_71655347,126
71655348,product_71655348,140
71655349,product_71655349,87
71655350,product_71655350,115
71655351,product_71655351,70
71655352,product_71655352,52
71655353,product_71655353,87
71655354,product_71655354,32
71655355,product_71655355,38
71655356,product_71655356,100
71655357,product_71655357,148
71655358,product_71655358,70
71655359,product_71655359,41
71655360,product_71655360,88
71655361,product_71655361,41
71655362,product_71655362,11
71655363,product_71655363,100
71655364,product_71655364,72
71655365,product_71655365,121
71655366,product_71655366,3
71655367,product_71655367,111
71655368,product_71655368,130
71655369,product_71655369,68
71655370,product_71655370,107
71655371,product_71655371,113
71655372,product_71655372,135
71655373,product_71655373,55
71655374,product_71655374,86
71655375,product_71655375,7
71655376,product_71655376,39
71655377,product_71655377,40
71655378,product_71655378,98
71655379,product_71655379,76
71655380,product_71655380,143
71655381,product_71655381,15
71655382,product_71655382,102
71655383,product_71655383,59
71655384,product_71655384,109
71655385,product_71655385,137
71655386,product_71655386,17
71655387,product_71655387,22
71655388,product_71655388,72
71655389,product_71655389,98
71655390,product_71655390,114
71655391,product_71655391,109
71655392,product_71655392,62
71655393,product_71655393,132
71655394,product_71655394,111
71655395,product_71655395,41
71655396,product_71655396,87
71655397,product_71655397,76
71655398,product_71655398,61
71655399,product_71655399,149
71655400,product_71655400,92
71655401,product_71655401,120
71655402,product_71655402,91
71655403,product_71655403,145
71655404,product_71655404,10
71655405,product_71655405,87
71655406,product_71655406,86
71655407,product_71655407,123
71655408,product_71655408,12
71655409,product_71655409,58
71655410,product_71655410,136
71655411,product_71655411,103
71655412,product_71655412,70
71655413,product_71655413,38
71655414,product_71655414,70
